pipe_length_m,pipe_diameter_m,flow_velocity_m_s,fluid_density_kg_m3,dynamic_viscosity_pa_s,pressure_drop_kpa
4.5213,0.08548,3.1075,1037.76,0.0004945395,4.8104
22.2261,0.0301,3.1763,918.93,0.0005885567,79.7149
14.9326,0.04364,3.1691,961.4,0.0005815012,34.7684
6.5156,0.03109,2.1821,909.26,0.001168582,11.1447
16.0293,0.02118,2.0976,883.96,0.0007269128,40.9348
6.2647,0.16924,1.3408,889.04,0.0005953859,0.4638
21.497,0.05614,2.7569,861.59,0.001512184,24.9028
14.4924,0.0406,1.5126,1039.86,0.0008878843,10.0866
12.6686,0.07934,1.4023,930.58,0.0004500889,2.8318
10.4423,0.02034,2.5509,1016.82,0.001654681,48.7692
19.6479,0.03794,1.9349,986.27,0.0005746902,21.6736
12.1308,0.10094,1.266,888.38,0.0003230254,1.4789
4.4542,0.08606,3.3562,885.09,0.0007667022,4.8541
5.3042,0.19179,3.512,1012.4,0.0003795202,2.5244
28.9331,0.08344,1.0869,902.94,0.0004716239,3.4426
27.4403,0.06005,0.5263,1032.66,0.001237863,1.6519
21.5918,0.11547,1.6765,878.01,0.0003844579,4.3267
9.4444,0.16009,3.2913,985.54,0.001386659,4.7206
29.1369,0.10513,3.4371,1012.89,0.001774383,30.9374
23.805,0.18376,0.9842,897.05,0.0009480874,0.906
22.0729,0.12107,3.2102,905.24,0.001154496,14.6022
14.5821,0.14717,0.905,1042.9,0.001161586,0.7752
9.6228,0.02601,1.8652,902.92,0.001972897,14.922
4.6989,0.108,3.9951,935.99,0.0005734791,5.5557
27.2729,0.0551,1.1741,936.5,0.0004086017,6.4505
14.7617,0.07147,1.0389,900.61,0.0008032813,1.9029
7.6662,0.09018,1.9798,1005.16,0.0008250313,3.2308
10.5668,0.18657,2.6688,1004.37,0.0004204409,3.2492
18.2181,0.19302,3.7652,925.66,0.0009599917,10.1668
6.9496,0.03884,3.9329,1017.03,0.0003081476,29.9007
25.9852,0.10834,0.7437,892.61,0.001743554,1.3521
23.2385,0.11246,0.983,850.86,0.0004955715,1.651
22.145,0.04441,3.2676,964.23,0.0003233816,56.7646
14.0986,0.0266,1.4472,1048.82,0.0003683909,14.7828
19.5646,0.02198,3.597,857.73,0.0004732215,116.2876
18.3547,0.11978,2.8221,891.6,0.0005044231,9.1123
20.1957,0.06176,0.8915,953.78,0.0003192668,2.5385
4.3644,0.19345,3.4139,1011.99,0.0005096642,1.7965
13.6426,0.05834,1.1172,867.81,0.0004326011,2.6715
3.1652,0.19008,1.9822,929.05,0.0006152765,0.5271
15.8317,0.05159,2.4326,999.42,0.000622966,19.0927
11.2361,0.12437,2.2527,924.31,0.0005707326,3.8149
6.0467,0.02431,2.9016,887.77,0.0005588569,22.9013
4.8953,0.07186,2.7844,889.1,0.0003556736,4.289
18.454,0.12679,3.9721,932.01,0.0003146935,17.3441
6.7766,0.16816,3.998,945.88,0.0004401949,4.4157
27.9034,0.13293,2.3076,1022.36,0.001260467,9.4493
18.2697,0.02178,0.8332,978.45,0.001965432,10.4366
11.7124,0.04718,3.0475,988.08,0.001746393,27.1476
18.5456,0.02237,3.9183,1046.6,0.0007808219,157.1607
2.6385,0.02572,1.6141,932.37,0.0008228025,3.3801
28.8397,0.0947,2.1142,930.67,0.0005448886,11.2122
15.5045,0.10334,1.9867,1034.67,0.001302497,5.8158
23.9166,0.11878,0.68,899.18,0.001280003,0.9159
4.3164,0.14672,2.8529,995.96,0.001488417,2.1247
15.6264,0.10976,1.7367,1000.91,0.001640345,4.1624
15.7398,0.12644,3.2561,869.56,0.0006838887,10.1869
28.2591,0.02239,3.4124,943.65,0.001285159,183.3929
18.0084,0.03432,3.3743,890.11,0.001385225,64.6537
15.2577,0.08374,1.9583,887.08,0.0005385969,5.4736
9.4753,0.14426,1.6254,942.77,0.001748767,1.6957
11.2839,0.02021,3.1209,907.89,0.000358798,63.3391
16.5788,0.06541,3.3049,1009.21,0.001978374,29.8285
14.2895,0.09513,2.2194,1031.52,0.001293021,6.6184
2.6051,0.02141,3.6256,1010.54,0.00035807,18.9827
25.1362,0.05039,1.0037,903.21,0.001041825,5.7639
27.0925,0.15728,3.5767,904.83,0.0003200973,15.4163
5.927,0.0939,0.8363,900.95,0.001293258,0.395
17.513,0.03457,1.0373,877.01,0.001366495,6.924
5.0401,0.1425,2.3684,1038.76,0.0009407026,1.6661
20.8227,0.04457,0.7363,930.41,0.00152439,3.4943
9.8745,0.14268,0.6848,894.94,0.000361217,0.2494
20.4638,0.03981,0.5018,1019.33,0.0005063576,1.6536
22.3558,0.07787,2.0271,929.84,0.0006582119,10.9838
23.5221,0.04989,3.2112,857.02,0.0003251642,39.5434
5.0167,0.03766,0.6219,882.39,0.0007021185,0.5661
27.6483,0.15402,2.7829,977.85,0.0004961728,10.5259
8.446,0.03081,3.3809,1006.58,0.0006319738,37.4405
3.0476,0.02431,1.088,892.19,0.0006719965,1.6694
17.5359,0.04395,1.014,1033.48,0.001591022,5.0428
12.3858,0.10439,3.5128,1020.2,0.0005010229,13.1008
25.2341,0.12837,3.3809,1019.68,0.001634873,19.2274
24.631,0.19942,2.3863,895.53,0.0006731044,4.7138
10.8799,0.03957,3.3672,860.11,0.0005587337,26.166
28.6812,0.05116,0.8246,1023.48,0.0007782969,4.3471
10.1457,0.02741,1.8807,911.16,0.0006626796,14.671
16.4216,0.07515,3.0823,973.78,0.0004888465,19.3119
9.167,0.19889,1.4011,1001.99,0.000778544,0.6969
28.2092,0.10044,3.1332,875.66,0.0004001216,22.3005
6.609,0.07875,2.2646,1006.17,0.000584897,3.861
3.2575,0.04936,3.1259,1037.7,0.000877568,6.6821
14.1827,0.16456,2.1264,995.67,0.000657252,3.3259
29.7865,0.0628,1.7877,938.24,0.001432023,15.5978
26.967,0.02725,1.2672,1025.34,0.0004882436,19.479
22.961,0.04639,1.2293,955.49,0.001888533,9.1306
26.9422,0.02335,3.1302,998.95,0.001329415,156.4498
27.0165,0.03184,0.9162,1014.1,0.001880744,11.5503
16.528,0.02083,0.8009,999.87,0.001471192,8.0389
10.846,0.05679,1.117,907.57,0.0003928275,2.2113
23.6163,0.08621,1.1137,873.57,0.0008144723,2.9941
20.5265,0.04409,3.3809,897.67,0.0004141599,46.7333
12.4624,0.05265,1.8948,950.57,0.001416661,9.032
4.6451,0.18207,3.9664,951.06,0.0009086938,2.9222
22.9101,0.11298,0.9802,966.53,0.000494515,1.7891
9.3489,0.06948,2.7874,929.02,0.001749951,10.626
28.2308,0.03851,2.0706,1007.38,0.0003732708,33.4598
8.7472,0.15777,1.8752,1032.63,0.0008743643,1.6406
5.4372,0.03437,3.5628,899.35,0.001178129,21.5732
25.2712,0.0423,3.9146,997.3,0.000335434,90.8001
6.292,0.16222,3.555,985.59,0.00093261,3.9238
7.0195,0.0677,1.1731,954.62,0.001410423,1.5258
18.7827,0.1105,1.2728,887.71,0.0003410025,2.011
26.4877,0.07794,2.7963,1009.05,0.0007927983,23.7674
7.5002,0.09005,1.5118,1042.13,0.0004899466,1.9316
10.6891,0.03985,3.0715,994.37,0.001055141,27.6564
23.7673,0.03487,2.4825,1033.57,0.0003757514,51.4816
29.2111,0.04203,2.4282,1046.84,0.001774868,48.8852
16.0208,0.02861,3.3999,920.41,0.001637932,75.6209
6.0291,0.14974,2.9869,977.64,0.0004269207,3.0858
2.3902,0.0384,0.593,944.79,0.0005539401,0.2456
8.4304,0.07287,0.6731,1047.33,0.0009147004,0.5544
5.691,0.12388,2.6055,868.76,0.001171491,2.5384
20.9744,0.12158,2.2017,932.47,0.0006947514,6.376
5.4113,0.05488,1.4106,1025.11,0.0004035441,2.0278
16.1772,0.05988,1.9653,906.81,0.000365538,8.9267
21.4393,0.19757,3.1527,1007.56,0.00199911,8.9212
18.2713,0.09454,3.3931,926.56,0.0007116883,17.2798
7.5937,0.13052,2.4643,1046.0,0.001570391,3.232
24.5155,0.1598,1.8488,1026.71,0.0007491263,4.4741
22.0314,0.12264,1.4474,910.26,0.001726075,3.206
22.6916,0.03063,2.3267,1004.04,0.0003543455,43.9467
5.6696,0.07298,1.6016,917.37,0.0003724454,1.6857
5.4651,0.02529,2.4743,971.27,0.001750062,16.0553
27.9718,0.08994,2.8683,981.7,0.001810377,23.7243
13.1322,0.18046,0.7313,1015.92,0.0005450291,0.3337
10.4266,0.06513,0.5037,854.89,0.0005884976,0.3916
15.6804,0.0542,1.243,894.03,0.0007077811,4.2821
20.5602,0.02172,3.6308,992.38,0.0006606942,154.3268
28.7575,0.18231,2.762,962.7,0.0004302305,8.4189
10.0205,0.02535,1.1019,949.12,0.001649304,7.1209
27.8946,0.02198,3.6159,861.04,0.0004850914,189.4781
2.6961,0.03524,2.1448,919.66,0.001143408,3.7863
17.5455,0.02326,2.1663,1023.02,0.0003407622,45.1033
19.7513,0.05704,3.7744,856.18,0.0003228857,39.9206
4.9651,0.06563,0.7082,929.29,0.001036897,0.4219
5.9295,0.04108,1.2531,1039.03,0.0005707414,2.8549
13.7352,0.02249,2.5502,860.18,0.001040303,46.2907
29.0545,0.02586,1.1842,999.94,0.0003585801,17.6768
18.6892,0.04848,2.8783,901.52,0.001818495,33.2441
28.1247,0.02299,1.2493,1023.32,0.001241163,29.7669
24.5221,0.09982,0.847,999.21,0.001581559,1.9028
15.0867,0.03221,1.2244,1027.14,0.0003886517,8.7893
23.9734,0.0401,1.9796,893.18,0.0005506868,22.1921
2.4994,0.04956,1.1165,956.26,0.0006033971,0.6118
5.056,0.0522,0.9714,1005.85,0.0008311942,1.0508
25.224,0.02008,3.511,899.14,0.0005268825,161.8378
24.3109,0.02589,1.6214,896.15,0.00033657,26.3439
8.5139,0.14581,1.7627,855.44,0.000604009,1.373
16.8615,0.02006,0.6934,1041.7,0.0004862355,5.4208
18.9684,0.06445,1.7508,992.0,0.0006238572,8.2992
26.2967,0.06174,1.4268,977.11,0.0004359111,7.9564
18.887,0.04306,2.6367,998.8,0.0004930602,31.7903
13.552,0.054,1.2189,956.32,0.0009855366,3.9372
12.4772,0.12067,3.6093,945.23,0.0006265051,11.2555
13.9247,0.13875,3.7538,939.91,0.0005776778,11.0963
20.2541,0.03642,0.8494,978.09,0.0008260584,5.109
26.2897,0.04203,0.8759,890.31,0.00129737,5.7204
14.7091,0.03496,0.9036,1027.61,0.0006155649,4.3862
8.9395,0.06038,2.6685,1012.35,0.0009145,10.2178
8.6265,0.09645,0.9269,919.91,0.001875789,0.8364
22.8884,0.03383,3.4833,965.72,0.0008075794,84.5083
24.8639,0.04283,3.14,878.21,0.001685433,60.0655
4.9478,0.17038,3.3693,1044.47,0.001352182,2.9228
3.8636,0.02237,2.3412,1030.58,0.0003353514,12.0639
18.6441,0.05778,3.9884,1034.38,0.0006771105,51.0341
6.0929,0.10294,0.6546,916.43,0.001128423,0.2575
25.0906,0.02828,1.9044,883.83,0.001950212,34.2693
10.6894,0.02231,1.6338,892.35,0.0007157832,15.394
6.0284,0.02749,3.8203,868.0,0.0003577404,31.7298
27.7872,0.1659,2.519,874.02,0.0008712956,7.4709
6.6349,0.02043,3.3217,864.26,0.0003814154,40.1464
9.9722,0.03086,1.0962,1047.96,0.001248259,5.4514
6.3012,0.02149,3.9252,864.81,0.0007859606,46.7249
5.2337,0.0258,2.2452,876.51,0.001183485,11.6113
2.5921,0.0834,2.2279,1015.45,0.001560975,1.5548
3.5511,0.03489,3.8981,966.05,0.000989275,16.8928
6.89,0.07417,1.8326,1004.88,0.0009587721,3.1202
3.4947,0.07784,1.8913,976.18,0.001255505,1.6572
18.552,0.14141,2.5466,1026.44,0.001483294,7.1223
21.06,0.02022,0.9482,977.69,0.001560063,15.0685
13.0217,0.14269,1.6238,954.43,0.000321467,1.9586
10.9038,0.0832,1.1762,992.55,0.0008617302,1.6457
16.1267,0.02909,0.8615,939.48,0.0004521759,4.8895
26.5001,0.11857,3.5315,919.21,0.001534503,21.8931
25.8317,0.14339,2.5627,943.53,0.001026459,9.1658
3.2173,0.03592,1.7554,883.94,0.0006658037,2.6987
7.082,0.16589,1.9303,1009.31,0.0004286492,1.2365
8.6289,0.05695,2.0103,902.14,0.0005707498,6.1072
8.9829,0.08025,2.716,880.71,0.001140171,6.5639
17.9945,0.19305,3.7437,899.27,0.0004420739,8.1593
13.6553,0.04598,3.7647,1018.41,0.0003582821,40.3881
3.3791,0.13007,1.8702,916.04,0.001617245,0.8425
12.4612,0.04163,1.6524,987.21,0.001278677,9.3703
16.6651,0.12596,2.0787,1021.28,0.0004382622,4.788
4.8468,0.07976,2.4878,865.55,0.0005223472,2.9255
25.3368,0.03291,2.1164,1003.0,0.001896786,42.3827
3.4549,0.05189,2.8056,911.53,0.001149743,5.0077
27.8956,0.04156,2.4404,893.32,0.000955291,45.1298
4.7752,0.02394,1.6225,987.78,0.0005377483,7.0105
25.6201,0.02142,1.7101,1031.96,0.000529143,44.5605
27.2743,0.04441,1.8251,909.0,0.0003233591,19.9991
29.428,0.0209,0.8312,963.77,0.001194879,14.2117
24.4567,0.02928,1.0812,907.97,0.000325607,9.6924
23.8254,0.10622,3.0309,960.86,0.0003027773,17.3055
19.9895,0.10212,1.8618,974.37,0.001197178,6.5844
23.8119,0.10955,1.2509,972.07,0.001815125,3.5889
5.7675,0.04151,2.4694,974.71,0.001260117,9.1684
17.0099,0.15526,3.1444,877.02,0.0007340231,7.4989
16.3982,0.0785,1.401,988.71,0.0007543592,4.1188
26.012,0.02673,3.3938,984.95,0.0006862113,133.6376
14.9584,0.02785,3.7463,986.52,0.0005553899,84.4638
12.7825,0.09866,2.5909,864.81,0.0008071721,6.2193
19.9078,0.02978,2.8413,939.37,0.0006797517,59.5617
9.461,0.06432,0.684,931.81,0.0009331619,0.7897
5.9135,0.19625,3.8093,867.34,0.001648505,2.8342
15.3806,0.02019,1.8737,894.47,0.001981154,37.8541
13.6729,0.02078,3.7337,938.19,0.0003483361,108.0027
8.512,0.19684,2.5264,998.58,0.0006223939,2.1577
12.2903,0.07685,0.5162,897.41,0.0004226751,0.4165
12.259,0.02679,0.6349,1015.95,0.0005851085,2.4623
11.1699,0.15788,2.8815,959.16,0.0005175744,4.0471
12.625,0.15185,2.4693,1002.08,0.0004177572,3.8668
21.2008,0.06874,0.5929,944.51,0.001278351,1.3283
10.3125,0.08372,3.1021,949.84,0.0007691621,9.9795
28.568,0.03752,3.4825,973.94,0.001715915,100.9692
27.6577,0.02247,2.2375,1035.59,0.000319135,71.1703
15.4655,0.07863,2.1302,948.36,0.0003406474,8.3489
11.1941,0.03943,0.5192,955.73,0.0006447359,0.9878
16.9922,0.09218,3.2533,970.4,0.0003493514,16.8964
25.7597,0.13718,1.6575,997.5,0.0004938402,4.4462
20.2724,0.02085,3.5757,864.37,0.00194769,153.6979
24.523,0.07884,1.8057,953.14,0.0004459487,8.8128
16.9162,0.03407,2.4778,946.32,0.00043687,31.7651
19.7217,0.1496,1.4462,1034.34,0.0008907356,2.3858
10.0684,0.03587,1.0621,948.7,0.0007716607,4.2192
22.577,0.08162,3.2122,943.66,0.0009022969,25.5738
7.6673,0.07154,2.2381,1042.44,0.0006130794,5.1645
21.4543,0.0498,2.3777,940.12,0.001439786,26.0259
26.1001,0.0952,3.879,886.18,0.0003902105,29.6533
5.6989,0.10637,3.8725,893.38,0.0006762039,6.5775
19.2026,0.07378,3.4947,869.04,0.001110253,25.6299
4.6627,0.11467,1.1566,850.11,0.001557646,0.4879
22.32,0.19251,2.58,936.39,0.0006048038,5.7785
4.3658,0.05252,3.5735,1003.85,0.0008808294,10.9947
28.2063,0.06541,1.8106,996.69,0.0003420474,13.4203
5.8474,0.02058,0.8539,856.43,0.0004144276,2.4465
28.8486,0.12504,3.3384,964.0,0.0003420462,19.8236
24.4248,0.06626,2.1862,880.86,0.001193517,15.5584
18.6231,0.05117,2.4754,1038.22,0.000518151,22.8151
23.9135,0.02484,3.9375,883.47,0.00118419,177.4867
24.2632,0.15513,2.6252,975.33,0.0003402729,8.0641
28.4888,0.04966,1.9874,915.25,0.001540927,22.8957
9.0947,0.0963,1.7949,978.31,0.001463935,2.8383
18.5221,0.02821,1.9617,932.45,0.0003551325,29.0593
4.6614,0.18305,0.9144,1001.93,0.00031383,0.1724
19.2526,0.03016,3.2816,896.14,0.000333809,71.1659
6.7962,0.03166,3.432,1031.16,0.001515077,30.7553
17.8186,0.14455,1.4954,950.04,0.0004682691,2.208
18.0281,0.16354,1.5633,1001.22,0.0008488842,2.1703
15.0476,0.0326,3.5602,1019.95,0.0006734534,66.1138
16.6337,0.059,0.5839,1049.77,0.001356943,1.3586
23.3899,0.10827,2.3216,894.79,0.0007584533,9.5674
24.3789,0.15115,2.1229,907.38,0.0007755684,5.1716
15.7803,0.04787,2.9154,900.09,0.001959037,27.5618
18.7886,0.06577,1.0719,902.57,0.0003988543,2.9623
28.0746,0.11034,2.8392,966.49,0.001450593,19.5154
5.3525,0.10769,1.8186,1048.7,0.0003309469,1.3206
5.2789,0.12134,2.6655,1048.06,0.0007424381,2.757
4.4559,0.0743,0.6403,955.35,0.001612057,0.2744
20.4202,0.02545,2.116,977.81,0.001059734,43.819
13.721,0.16033,2.3279,1021.99,0.001100717,3.8284
23.681,0.14676,1.2501,1036.59,0.0004943911,2.1126
20.7945,0.12564,0.9887,890.77,0.0006637258,1.2776
11.3419,0.02517,1.1597,955.71,0.0006013822,7.525
27.1543,0.03202,1.7045,1016.57,0.0008067572,29.2801
23.3509,0.11082,0.8388,910.64,0.0007210326,1.2078
9.575,0.02109,3.8156,937.96,0.0005577707,80.4543
12.1974,0.19066,1.9175,1047.12,0.0005355616,1.9499
10.8043,0.04766,3.3314,1047.01,0.0004828377,27.7194
6.4131,0.1048,3.9105,1031.22,0.0005996349,7.5311
6.1379,0.15438,0.7826,1009.69,0.000398712,0.2085
28.2116,0.04962,2.7808,903.83,0.001569118,45.5248
14.2613,0.0417,3.5499,914.17,0.0009401836,40.4734
12.733,0.08124,2.7198,959.46,0.0003866776,9.931
22.4312,0.07621,2.0016,962.16,0.001118917,11.1872
17.4838,0.05131,2.0088,951.1,0.001498032,16.1757
28.2119,0.07995,0.6256,977.33,0.0004707919,1.5038
23.8484,0.17235,2.3711,931.66,0.0003992109,5.0907
15.4223,0.0587,3.9774,999.83,0.0003049447,44.4338
12.5381,0.03146,3.8555,916.71,0.000328134,57.3258
29.6257,0.04767,0.6414,916.14,0.001273934,3.3223
22.0973,0.04956,2.9703,875.45,0.001951968,40.9085
28.6335,0.02705,1.5562,887.74,0.0003266619,25.8265
5.3174,0.0291,3.6605,1020.1,0.001240119,30.632
25.8149,0.09674,0.6579,939.26,0.0003438184,1.0087
19.8381,0.0437,3.7756,895.57,0.0009225389,63.4574
5.4138,0.18027,3.4312,1001.87,0.001259094,2.8225
18.4712,0.03505,0.9113,960.8,0.0005930249,5.4478
21.2107,0.02512,0.7094,854.23,0.0003062883,4.7016
2.3445,0.11338,3.4215,913.27,0.0009279038,1.8804
14.7209,0.15208,1.0452,885.4,0.001967054,1.0014
25.1112,0.03794,2.3721,981.17,0.0004890739,40.8783
10.2701,0.03185,3.7051,905.01,0.0004297786,46.2171
14.8393,0.03068,2.4861,862.99,0.0003795114,28.3884
14.3848,0.06653,1.8903,860.99,0.0008602035,6.4033
10.454,0.05881,2.0576,966.35,0.000930117,7.2996
27.7164,0.03635,0.7209,854.34,0.001348591,4.7774
23.8762,0.02219,3.8906,1019.76,0.001251944,221.2478
5.0965,0.06061,1.5873,881.08,0.00163115,2.2399
29.917,0.18212,1.1628,971.31,0.00138358,1.9113
26.6176,0.08986,1.5012,938.94,0.0004795642,6.1391
9.9494,0.06259,3.8753,938.57,0.0008612188,23.2395
25.4331,0.02581,0.83,864.36,0.000527426,7.9372
4.9797,0.03577,3.5356,1010.55,0.000560834,18.3704
29.9749,0.03943,2.9775,1028.61,0.001757755,87.1916
20.6392,0.11637,3.4051,852.2,0.001093808,15.1518
20.2035,0.15057,3.9156,885.72,0.001905877,15.5276
4.5323,0.15947,3.4475,1030.78,0.000661636,2.6598
27.1169,0.19302,3.8018,959.9,0.000831612,14.0548
2.812,0.19204,0.9443,880.01,0.0007558923,0.0906
8.7432,0.17949,3.2853,890.56,0.0003677189,3.6077
6.0046,0.0236,2.4099,982.0,0.0004700479,17.0933
23.7495,0.02747,2.4022,994.96,0.0008162919,70.4244
7.5497,0.04032,3.6462,969.89,0.0003409036,23.7687
27.4979,0.07144,3.9013,1040.63,0.001756147,56.0761
20.3755,0.025,2.9669,948.81,0.0003794523,82.8305
3.0126,0.14023,2.1903,910.05,0.0004367564,0.8148
2.152,0.08275,2.0974,945.45,0.001281375,1.0676
3.4464,0.06973,1.8522,921.93,0.0003605674,1.5102
18.9659,0.02926,1.7656,894.88,0.001655268,22.3617
24.4415,0.03583,1.8703,859.19,0.001188592,24.2988
8.6795,0.02893,0.8141,920.44,0.0003417107,2.1346
25.7834,0.14222,0.771,992.28,0.001114654,0.9407
3.6025,0.07678,3.2295,853.69,0.0009943185,3.989
24.427,0.10868,2.0613,937.84,0.001262142,7.4105
27.9783,0.03954,3.7574,978.8,0.001443712,102.5957
23.619,0.04702,2.6428,972.08,0.001172132,36.1158
21.5474,0.0508,0.6231,1005.33,0.0009121726,1.9642
25.4634,0.11509,1.0513,1012.1,0.0005530974,2.2552
3.1242,0.11841,1.2204,992.34,0.001126189,0.3747
7.6499,0.0322,3.9151,870.56,0.001843226,40.338
5.4979,0.17481,1.2655,945.0,0.0009145039,0.4195
16.1269,0.0264,2.3051,970.68,0.001057988,42.1837
22.8653,0.15745,3.7766,899.11,0.0006875034,14.563
19.6403,0.0252,3.9202,858.51,0.001259203,130.9448
25.8317,0.03678,1.3273,894.72,0.001991169,15.6619
6.346,0.14045,0.6719,940.98,0.0004066937,0.1688
22.5694,0.03024,1.0376,932.79,0.000440438,8.9375
7.4052,0.05183,0.7216,885.33,0.0008347737,0.7833
9.5812,0.05635,1.1829,1014.88,0.0007477056,2.4881
21.8773,0.03518,2.49,1035.14,0.000887243,46.5785
29.4457,0.10263,3.6936,890.27,0.0003292712,28.9998
19.1232,0.14202,2.3803,1035.91,0.0006459638,6.196
3.526,0.14983,2.691,853.57,0.0009066552,1.1593
19.2567,0.04369,1.2065,1034.99,0.0009104698,7.2748
3.1858,0.0679,3.302,1040.39,0.00104401,5.3935
26.7561,0.03544,2.6623,852.41,0.001176288,54.1349
21.8682,0.03514,3.5245,1002.6,0.001013206,83.7544
