time,x1,x2,source,regime,target
69,-1.86351,0.003019,lab-A,high,0.861642
70,-1.846797,-0.079086,lab-B,high,0.996297
71,-1.830084,-0.371008,lab-C,high,0.845017
72,-1.81337,-0.619064,lab-D,high,1.169462
73,-1.796657,-0.801084,lab-A,high,1.330968
74,-1.779944,-0.846251,lab-B,high,1.501133
75,-1.763231,-0.993627,lab-C,high,1.518776
76,-1.746518,-0.967792,lab-D,high,1.512353
77,-1.729805,-0.909699,lab-A,high,1.258683
78,-1.713092,-0.905525,lab-B,high,1.544606
79,-1.696379,-0.793822,lab-C,high,1.145483
80,-1.679666,-0.726693,lab-D,high,1.1202
81,-1.662953,-0.513038,lab-A,high,0.971864
82,-1.64624,-0.098459,lab-B,high,1.105661
83,-1.629526,0.024592,lab-C,high,0.644762
84,-1.612813,0.241977,lab-D,high,0.983771
85,-1.5961,0.47049,lab-A,high,0.775368
86,-1.579387,0.610787,lab-B,high,1.106975
87,-1.562674,0.815485,lab-C,high,1.00026
88,-1.545961,0.867896,lab-D,high,1.317068
89,-1.529248,1.05404,lab-A,high,1.397945
90,-1.512535,1.070809,lab-B,high,1.556884
91,-1.495822,1.072679,lab-C,low,0.991647
92,-1.479109,0.880585,lab-D,low,0.644814
93,-1.462396,0.826688,lab-A,low,0.801
94,-1.445682,0.639969,lab-B,low,0.887308
95,-1.428969,0.385201,lab-C,low,0.161784
96,-1.412256,0.112412,lab-D,low,0.382396
97,-1.395543,-0.095962,lab-A,low,0.434908
98,-1.37883,-0.337261,lab-B,low,0.458076
99,-1.362117,-0.601715,lab-C,low,0.631825
100,-1.345404,-0.701509,lab-D,low,0.822503
101,-1.328691,-0.833683,lab-A,low,0.913175
102,-1.311978,-0.938798,lab-B,low,1.186427
103,-1.295265,-0.995265,lab-C,low,1.059916
104,-1.278552,-0.942071,lab-D,low,0.86951
105,-1.261838,-0.920397,lab-A,low,0.885454
106,-1.245125,-0.825262,lab-B,low,1.038762
107,-1.228412,-0.654885,lab-C,low,0.739366
108,-1.211699,-0.49274,lab-D,low,0.746553
109,-1.194986,-0.292752,lab-A,low,0.432109
110,-1.178273,-0.085325,lab-B,low,0.674861
111,-1.16156,0.179255,lab-C,low,0.570156
112,-1.144847,0.452517,lab-D,low,0.636546
113,-1.128134,0.64866,lab-A,low,0.729141
114,-1.111421,0.679992,lab-B,low,0.99631
115,-1.094708,0.952302,lab-C,low,0.998114
116,-1.077994,0.91379,lab-D,low,1.346266
117,-1.061281,0.960355,lab-A,low,1.051972
118,-1.044568,0.950036,lab-B,low,1.244645
119,-1.027855,0.929061,lab-C,low,0.910155
120,-1.011142,0.69147,lab-D,low,0.935516
121,-0.994429,0.69711,lab-A,mid,1.093909
122,-0.977716,0.441251,lab-B,mid,0.778216
123,-0.961003,0.150938,lab-C,mid,0.930003
124,-0.94429,-0.071864,lab-D,mid,1.014561
125,-0.927577,-0.296423,lab-A,mid,1.039391
126,-0.910864,-0.466221,lab-B,mid,1.1293
127,-0.89415,-0.647798,lab-C,mid,1.127371
128,-0.877437,-0.849557,lab-D,mid,1.583111
129,-0.860724,-0.974664,lab-A,mid,1.804801
130,-0.844011,-0.959515,lab-B,mid,1.539402
131,-0.827298,-0.926743,lab-C,mid,1.518503
132,-0.810585,-0.946421,lab-D,mid,1.686508
133,-0.793872,-0.807112,lab-A,mid,1.248907
134,-0.777159,-0.711864,lab-B,mid,1.641059
135,-0.760446,-0.511375,lab-C,mid,1.129286
136,-0.743733,-0.317862,lab-D,mid,1.152916
137,-0.727019,-0.21073,lab-A,mid,1.08492
138,-0.710306,0.148916,lab-B,mid,1.340244
139,-0.693593,0.293325,lab-C,mid,1.031783
140,-0.67688,0.547978,lab-D,mid,1.290588
141,-0.660167,0.724006,lab-A,mid,1.352573
142,-0.643454,0.897962,lab-B,mid,1.759298
143,-0.626741,0.953943,lab-C,mid,1.551461
144,-0.610028,1.097372,lab-D,mid,1.957954
145,-0.593315,0.873881,lab-A,mid,1.575438
146,-0.576602,0.944804,lab-B,mid,1.738688
147,-0.559889,0.810378,lab-C,mid,1.612583
148,-0.543175,0.717983,lab-D,mid,1.793933
149,-0.526462,0.452279,lab-A,mid,1.380079
150,-0.509749,0.265427,lab-B,mid,1.571562
151,-0.493036,0.030594,lab-C,high,1.795124
152,-0.476323,-0.238381,lab-D,high,1.532256
153,-0.45961,-0.331674,lab-A,high,1.740981
154,-0.442897,-0.587511,lab-B,high,1.906628
155,-0.426184,-0.85913,lab-C,high,1.880207
156,-0.409471,-0.914024,lab-D,high,2.184847
157,-0.392758,-1.001914,lab-A,high,2.247447
158,-0.376045,-1.037887,lab-B,high,2.562889
159,-0.359331,-0.987348,lab-C,high,2.412287
160,-0.342618,-0.867309,lab-D,high,2.34686
161,-0.325905,-0.697478,lab-A,high,2.247818
162,-0.309192,-0.596375,lab-B,high,2.156824
163,-0.292479,-0.451481,lab-C,high,2.11836
164,-0.275766,-0.214564,lab-D,high,1.992582
165,-0.259053,0.10299,lab-A,high,1.885809
166,-0.24234,0.191199,lab-B,high,2.338159
167,-0.225627,0.491147,lab-C,high,1.908333
168,-0.208914,0.704635,lab-D,high,2.560995
169,-0.192201,0.896922,lab-A,high,2.406374
170,-0.175487,0.952644,lab-B,high,2.475304
171,-0.158774,1.010388,lab-C,high,2.358695
172,-0.142061,0.897752,lab-D,high,2.50765
173,-0.125348,0.985323,lab-A,high,2.550292
174,-0.108635,0.870864,lab-B,high,2.641015
175,-0.091922,0.628527,lab-C,high,2.081086
176,-0.075209,0.647003,lab-D,high,2.429775
177,-0.058496,0.357663,lab-A,high,2.177919
178,-0.041783,0.066781,lab-B,high,2.558374
179,-0.02507,-0.07623,lab-C,high,1.976274
180,-0.008357,-0.374444,lab-D,high,2.326213
181,0.008357,-0.555936,lab-A,low,1.908281
182,0.02507,-0.803486,lab-B,low,2.268577
183,0.041783,-0.87881,lab-C,low,2.065408
184,0.058496,-0.982643,lab-D,low,2.553036
185,0.075209,-0.931789,lab-A,low,2.408836
186,0.091922,-1.017612,lab-B,low,2.615176
187,0.108635,-0.874685,lab-C,low,2.191307
188,0.125348,-0.840077,lab-D,low,2.33331
189,0.142061,-0.669692,lab-A,low,2.184009
190,0.158774,-0.45795,lab-B,low,2.36751
191,0.175487,-0.381032,lab-C,low,2.010702
192,0.192201,-0.111489,lab-D,low,2.229409
193,0.208914,0.202825,lab-A,low,2.229159
194,0.225627,0.38616,lab-B,low,2.520965
195,0.24234,0.614632,lab-C,low,2.2865
196,0.259053,0.721511,lab-D,low,2.67946
197,0.275766,0.855508,lab-A,low,2.466804
198,0.292479,0.901811,lab-B,low,3.023769
199,0.309192,0.980088,lab-C,low,2.577801
200,0.325905,0.92802,lab-D,low,2.853736
201,0.342618,0.86088,lab-A,low,2.814016
202,0.359331,0.720624,lab-B,low,2.777127
203,0.376045,0.525845,lab-C,low,2.401131
204,0.392758,0.345,lab-D,low,2.554879
205,0.409471,0.20566,lab-A,low,2.390159
206,0.426184,0.018692,lab-B,low,2.693039
207,0.442897,-0.265654,lab-C,low,2.300427
208,0.45961,-0.463303,lab-D,low,2.842407
209,0.476323,-0.735328,lab-A,low,2.91599
210,0.493036,-0.801031,lab-B,low,3.019001
211,0.509749,-0.839868,lab-C,mid,3.175354
212,0.526462,-1.004039,lab-D,mid,3.188888
213,0.543175,-0.942522,lab-A,mid,3.285482
214,0.559889,-0.943374,lab-B,mid,3.482737
215,0.576602,-0.833998,lab-C,mid,2.997526
216,0.593315,-0.723534,lab-D,mid,3.206397
217,0.610028,-0.568503,lab-A,mid,2.927902
218,0.626741,-0.439347,lab-B,mid,2.98435
219,0.643454,-0.177293,lab-C,mid,2.529607
220,0.660167,0.08322,lab-D,mid,3.025711
221,0.67688,0.405495,lab-A,mid,3.144738
222,0.693593,0.599479,lab-B,mid,3.160504
223,0.710306,0.659455,lab-C,mid,3.216737
224,0.727019,0.905082,lab-D,mid,3.174342
225,0.743733,0.986466,lab-A,mid,3.307317
226,0.760446,1.031604,lab-B,mid,3.639121
227,0.777159,0.987113,lab-C,mid,3.328413
228,0.793872,0.908858,lab-D,mid,3.542721
229,0.810585,0.839961,lab-A,mid,3.558224
230,0.827298,0.684051,lab-B,mid,3.29904
231,0.844011,0.472854,lab-C,mid,3.160038
232,0.860724,0.252516,lab-D,mid,3.185435
233,0.877437,0.057282,lab-A,mid,3.251403
234,0.89415,-0.210907,lab-B,mid,3.24971
235,0.910864,-0.421237,lab-C,mid,2.95876
236,0.927577,-0.619139,lab-D,mid,3.617828
237,0.94429,-0.737905,lab-A,mid,3.529634
238,0.961003,-0.785785,lab-B,mid,3.506852
239,0.977716,-1.046103,lab-C,mid,3.675789
240,0.994429,-0.952721,lab-D,mid,3.869102
241,1.011142,-0.888144,lab-A,high,3.819485
242,1.027855,-0.942589,lab-B,high,4.154173
243,1.044568,-0.746204,lab-C,high,3.697098
244,1.061281,-0.598544,lab-D,high,3.77291
245,1.077994,-0.465694,lab-A,high,3.485125
246,1.094708,-0.230593,lab-B,high,3.867009
247,1.111421,0.030258,lab-C,high,3.442563
248,1.128134,0.277054,lab-D,high,3.780496
249,1.144847,0.436561,lab-A,high,3.446573
250,1.16156,0.692133,lab-B,high,4.071584
251,1.178273,0.717696,lab-C,high,3.850161
252,1.194986,1.010969,lab-D,high,4.507024
253,1.211699,1.033327,lab-A,high,4.255835
254,1.228412,1.050819,lab-B,high,4.437725
255,1.245125,0.883841,lab-C,high,3.885672
256,1.261838,0.881972,lab-D,high,3.917852
257,1.278552,0.756111,lab-A,high,4.13982
258,1.295265,0.508698,lab-B,high,3.900044
259,1.311978,0.324702,lab-C,high,3.711963
260,1.328691,0.173987,lab-D,high,3.758161
261,1.345404,-0.036146,lab-A,high,3.747217
262,1.362117,-0.295115,lab-B,high,3.669994
263,1.37883,-0.49954,lab-C,high,3.749457
264,1.395543,-0.709258,lab-D,high,3.8929
265,1.412256,-0.781096,lab-A,high,3.825419
266,1.428969,-0.902378,lab-B,high,4.090319
267,1.445682,-0.966748,lab-C,high,4.010293
268,1.462396,-1.009754,lab-D,high,4.21104
269,1.479109,-1.01893,lab-A,high,4.431533
270,1.495822,-0.741181,lab-B,high,4.086686
271,1.512535,-0.74789,lab-C,low,3.502789
272,1.529248,-0.532531,lab-D,low,3.633152
273,1.545961,-0.256652,lab-A,low,3.091128
274,1.562674,-0.116033,lab-B,low,3.416475
275,1.579387,0.165884,lab-C,low,2.886709
276,1.5961,0.404004,lab-D,low,3.341888
277,1.612813,0.609158,lab-A,low,3.631996
278,1.629526,0.837665,lab-B,low,3.908706
279,1.64624,0.968732,lab-C,low,3.656318
280,1.662953,0.959346,lab-D,low,3.768473
281,1.679666,1.122058,lab-A,low,4.054568
282,1.696379,1.01943,lab-B,low,3.968453
283,1.713092,0.857161,lab-C,low,3.394428
284,1.729805,0.790729,lab-D,low,3.730145
285,1.746518,0.708759,lab-A,low,3.491874
286,1.763231,0.341777,lab-B,low,3.40883
287,1.779944,0.250765,lab-C,low,2.980286
288,1.796657,-0.081104,lab-D,low,3.228947
289,1.81337,-0.221195,lab-A,low,3.260833
290,1.830084,-0.552094,lab-B,low,3.461083
291,1.846797,-0.590363,lab-C,low,3.256192
292,1.86351,-0.868984,lab-D,low,3.965103
293,1.880223,-0.953257,lab-A,low,3.552908
294,1.896936,-1.002941,lab-B,low,4.06799
295,1.913649,-0.999876,lab-C,low,3.672458
296,1.930362,-0.879687,lab-D,low,3.674796
297,1.947075,-0.80828,lab-A,low,3.520449
298,1.963788,-0.752908,lab-B,low,3.518421
299,1.980501,-0.553851,lab-C,low,3.269069
300,1.997214,-0.374151,lab-D,low,3.180984
301,2.013928,-0.134671,lab-A,mid,3.287544
302,2.030641,0.156298,lab-B,mid,3.645605
303,2.047354,0.375226,lab-C,mid,3.022069
304,2.064067,0.602255,lab-D,mid,3.503185
305,2.08078,0.757214,lab-A,mid,3.577022
306,2.097493,0.89051,lab-B,mid,3.805115
307,2.114206,0.913483,lab-C,mid,3.507367
308,2.130919,0.978258,lab-D,mid,3.907142
309,2.147632,0.988649,lab-A,mid,3.597158
310,2.164345,0.859644,lab-B,mid,3.577335
311,2.181058,0.813693,lab-C,mid,3.196121
312,2.197772,0.750252,lab-D,mid,3.458311
313,2.214485,0.546365,lab-A,mid,3.236872
314,2.231198,0.313787,lab-B,mid,3.346587
315,2.247911,0.044684,lab-C,mid,2.959423
316,2.264624,-0.257792,lab-D,mid,3.152986
317,2.281337,-0.426105,lab-A,mid,3.210375
318,2.29805,-0.588521,lab-B,mid,3.249269
319,2.314763,-0.727688,lab-C,mid,3.442634
320,2.331476,-0.849147,lab-D,mid,3.349726
321,2.348189,-0.932832,lab-A,mid,3.32977
322,2.364903,-0.978521,lab-B,mid,3.739979
323,2.381616,-0.923039,lab-C,mid,3.384355
324,2.398329,-0.89573,lab-D,mid,3.634238
325,2.415042,-0.795361,lab-A,mid,3.272186
326,2.431755,-0.602339,lab-B,mid,3.273624
327,2.448468,-0.42845,lab-C,mid,2.892882
328,2.465181,-0.126739,lab-D,mid,2.968337
329,2.481894,0.082568,lab-A,mid,2.807806
330,2.498607,0.215349,lab-B,mid,2.97126
331,2.51532,0.422844,lab-C,high,3.08465
332,2.532033,0.67282,lab-D,high,3.484953
333,2.548747,0.790436,lab-A,high,3.359428
334,2.56546,1.046947,lab-B,high,3.675816
335,2.582173,0.987405,lab-C,high,3.340077
336,2.598886,1.053791,lab-D,high,3.554108
337,2.615599,0.910509,lab-A,high,3.214291
338,2.632312,0.80193,lab-B,high,3.299296
339,2.649025,0.738382,lab-C,high,3.071632
340,2.665738,0.530659,lab-D,high,3.206621
341,2.682451,0.406883,lab-A,high,2.825009
342,2.699164,0.128947,lab-B,high,3.051053
343,2.715877,-0.123482,lab-C,high,2.656022
344,2.732591,-0.32846,lab-D,high,2.735318
345,2.749304,-0.569208,lab-A,high,3.19346
346,2.766017,-0.709541,lab-B,high,3.247321
347,2.78273,-0.889142,lab-C,high,3.222751
348,2.799443,-0.926506,lab-D,high,3.195768
349,2.816156,-0.948933,lab-A,high,3.252585
350,2.832869,-1.122292,lab-B,high,3.57022
351,2.849582,-0.923406,lab-C,high,2.91452
352,2.866295,-0.833847,lab-D,high,3.191036
353,2.883008,-0.712281,lab-A,high,3.014626
354,2.899721,-0.484654,lab-B,high,2.948231
355,2.916435,-0.224375,lab-C,high,2.327389
356,2.933148,-0.074318,lab-D,high,2.754711
357,2.949861,0.204765,lab-A,high,2.647154
358,2.966574,0.375356,lab-B,high,2.585206
359,2.983287,0.631407,lab-C,high,2.629416
360,3.0,0.788167,lab-D,high,2.682145
